ID,Haiku,Tokens,IDs
9214,幾朝の声の鶲ぞ垣に来る,"['幾/イク/幾/名詞', '朝/アサ/朝/接尾辞', 'の/ノ/の/助詞', '声/コエ/声/名詞', 'の/ノ/の/助詞', '鶲/ヒタキ/鶲/名詞', 'ぞ/ゾ/ぞ/助詞', '垣/カキ/垣/名詞', 'に/ニ/に/助詞', '来る/クル/来る/動詞']","[451, 12803, 18, 148, 18, 6627, 386, 675, 21, 69]"
9215,雁ゆきてまた夕空をしたたらす,"['雁/カリ/雁/名詞', 'ゆき/ユキ/ゆき/名詞', 'って/ッテ/て/助詞', '又/マタ/また/副詞', '夕空/ユーゾラ/夕空/名詞', 'を/ヲ/を/助詞', '滴らす/シタタラス/したたらす/動詞']","[1418, 1172, 275, 604, 11905, 31, 9270]"
9216,みな大き袋を負へり雁渡る,"['皆/ミナ/みな/名詞', '大きい/オーキイ/大きい/形容詞', '袋/フクロ/袋/名詞', 'を/ヲ/を/助詞', '負う/オウ/負ふ/動詞', 'り/リ/り/助動詞', '雁/カリ/雁/名詞', '渡る/ワタル/渡る/動詞']","[818, 1538, 4876, 31, 2135, 41, 1418, 178]"
9217,遥けさの初鴨の声聞きとむる,"['遥/ハルカ/遥/名詞', '今朝/ケサ/けさ/名詞', 'の/ノ/の/助詞', '初/ハツ/初/名詞', '鴨/カモ/鴨/名詞', 'の/ノ/の/助詞', '声/コエ/声/名詞', '聞く/キク/聞く/動詞', 'とめる/トメル/とむ/動詞']","[12804, 4317, 18, 999, 1408, 18, 148, 1009, 12805]"
9218,封筒のふつくら厚く鴨来る,"['封筒/フートー/封筒/名詞', 'の/ノ/の/助詞', 'ふっくら/フックラ/ふつくら/副詞', '厚い/アツイ/厚い/形容詞', '鴨/カモ/鴨/名詞', '来る/クル/来る/動詞']","[12806, 18, 12807, 8888, 1408, 69]"
9219,現身の禱れば秋の翳聚る,"['現身/ウツセミ/現身/名詞', 'の/ノ/の/助詞', '祈る/イノル/禱る/動詞', 'ば/バ/ば/助詞', '秋/アキ/秋/名詞', 'の/ノ/の/助詞', '陰/カゲ/翳/名詞', '集る/タカル/聚る/動詞']","[12808, 18, 12809, 4, 1357, 18, 3408, 12810]"
9220,泉くむ人の婆娑たる秋の影,"['泉/イズミ/泉/名詞', 'くむ/クム/くむ/動詞', '人/ヒト/人/名詞', 'の/ノ/の/助詞', '婆娑/ババシャバ/婆娑/形状詞', 'たり/タリ/たり/助動詞', '秋/アキ/秋/名詞', 'の/ノ/の/助詞', '影/カゲ/影/名詞']","[3337, 10965, 210, 18, 12811, 33, 1357, 18, 1022]"
9221,鶴の来るために大空あけて待つ,"['鶴/ツル/鶴/名詞', 'の/ノ/の/助詞', '来る/クル/来る/動詞', '為/タメ/ため/名詞', 'に/ニ/に/助詞', '大空/オーゾラ/大空/名詞', 'あける/アケル/あける/動詞', 'て/テ/て/助詞', '待つ/マツ/待つ/動詞']","[583, 18, 69, 2044, 21, 2271, 1420, 39, 968]"
9222,鶴守のはがき一片鶴来ると,"['鶴/ツル/鶴/名詞', '守/モリ/守/名詞', 'の/ノ/の/助詞', '葉書/ハガキ/はがき/名詞', '1/イチ/一/名詞', '片/ヘン/片/接尾辞', '鶴/ツル/鶴/名詞', '来る/クル/来る/動詞', 'と/ト/と/助詞']","[583, 1966, 18, 12812, 180, 4261, 583, 69, 67]"
9223,薄墨の鱗の金ンや紅葉鮒,"['薄墨/ウスズミ/薄墨/名詞', 'の/ノ/の/助詞', '鱗/ウロコ/鱗/名詞', 'の/ノ/の/助詞', '金/キン/金/名詞', 'ず/ズ/ぬ/助動詞', 'や/ヤ/や/助詞', '紅葉/コーヨー/紅葉/名詞', '鮒/フナ/鮒/名詞']","[12813, 18, 2487, 18, 3068, 70, 19, 6990, 2854]"
9224,犬も来て覗くや魚籠の紅葉鮒,"['犬/イヌ/犬/名詞', 'も/モ/も/助詞', '来る/クル/来る/動詞', 'て/テ/て/助詞', '覗く/ノゾク/覗く/動詞', 'や/ヤ/や/助詞', '魚籠/ビク/魚籠/名詞', 'の/ノ/の/助詞', '紅葉/コーヨー/紅葉/名詞', '鮒/フナ/鮒/名詞']","[2698, 11, 69, 39, 3002, 19, 12814, 18, 6990, 2854]"
9225,鰡さげて篠つく雨の野を帰る,"['鰡/ボラ/鰡/名詞', '下げる/サゲル/さげる/動詞', 'て/テ/て/助詞', '篠/シノ/篠/名詞', 'つく/ツク/つく/動詞', '雨/アメ/雨/名詞', 'の/ノ/の/助詞', '野/ノ/野/名詞', 'を/ヲ/を/助詞', '帰る/カエル/帰る/動詞']","[6735, 1669, 39, 4692, 3073, 103, 18, 523, 31, 1394]"
9226,鰡釣に波の曙うまれけり,"['鰡釣/ボラツリ/鰡釣/名詞', 'に/ニ/に/助詞', '波/ナミ/波/名詞', 'の/ノ/の/助詞', '曙/アケボノ/曙/名詞', '生まれる/ウマレル/うまれる/動詞', 'けり/ケリ/けり/助動詞']","[12815, 21, 2308, 18, 2400, 12816, 301]"
9227,年輪の渦にさまよふ秋の蜂,"['年輪/ネンリン/年輪/名詞', 'の/ノ/の/助詞', '渦/ウズ/渦/名詞', 'に/ニ/に/助詞', '様/ヨー/さま/名詞', 'よ/ヨ/よ/助詞', 'ふ/フ/ふ/接頭辞', '秋/アキ/秋/名詞', 'の/ノ/の/助詞', '蜂/ハチ/蜂/名詞']","[12817, 18, 5611, 21, 5269, 184, 1052, 1357, 18, 4816]"
9228,喪ごころや花粉まみれの秋の蜂,"['喪/モ/喪/名詞', '心/ココロ/ごころ/名詞', 'や/ヤ/や/助詞', '花/ハナ/花/名詞', '粉塗れ/コナマミレ/粉まみれ/名詞', 'の/ノ/の/助詞', '秋/アキ/秋/名詞', 'の/ノ/の/助詞', '蜂/ハチ/蜂/名詞']","[2064, 9972, 19, 47, 12818, 18, 1357, 18, 4816]"
9229,山麓の百年の家銀木犀,"['山麓/サンロク/山麓/名詞', 'の/ノ/の/助詞', '100/ヒャク/百/名詞', '年/トシ/年/名詞', 'の/ノ/の/助詞', '家/イエ/家/名詞', '銀木犀/ギンモクセー/銀木犀/名詞']","[12819, 18, 1064, 611, 18, 763, 12820]"
9230,南天の実に惨たりし日を憶ふ,"['南天/ナンテン/南天/名詞', 'の/ノ/の/助詞', '実/ミ/実/名詞', 'に/ニ/に/助詞', '惨い/ムゴイ/惨い/形容詞', 'たり/タリ/たり/助詞', '為る/ナル/する/動詞', '日/ヒ/日/名詞', 'を/ヲ/を/助詞', '憶/憶/憶/名詞', 'ふ/フ/ふ/接尾辞']","[5115, 18, 285, 21, 12821, 89, 16, 231, 31, 12822, 677]"
9231,億年のなかの今生実南天,"['億/オク/億/名詞', '年/トシ/年/名詞', 'の/ノ/の/助詞', '中/ナカ/なか/名詞', 'の/ノ/の/助詞', '今/イマ/今/名詞', '生実/イクミ/生実/名詞', '南天/ナンテン/南天/名詞']","[11992, 611, 18, 3812, 18, 2507, 12823, 5115]"
9232,山梔子の実のみ華やぐ坊の垣,"['梔子/クチナシコ/山梔子/名詞', 'の/ノ/の/助詞', '実/ミ/実/名詞', 'のみ/ノミ/のみ/助詞', '華やぐ/ハナヤグ/華やぐ/動詞', '坊/ボー/坊/名詞', 'の/ノ/の/助詞', '垣/カキ/垣/名詞']","[7893, 18, 285, 2577, 11639, 4671, 18, 675]"
9233,山梔子の実のつややかに妻の空,"['梔子/クチナシコ/山梔子/名詞', 'の/ノ/の/助詞', '実/ミ/実/名詞', 'の/ノ/の/助詞', '艶やか/アデヤカ/つややか/形状詞', 'だ/ダ/だ/助動詞', '妻/ツマ/妻/名詞', 'の/ノ/の/助詞', '空/ソラ/空/名詞']","[7893, 18, 285, 18, 283, 9, 311, 18, 273]"
9234,藤の実やたそがれさそふ薄みどり,"['藤の実/フジノミ/藤の実/名詞', 'や/ヤ/や/助詞', '黄昏/タソガレ/たそがれ/名詞', '誘う/サソウ/さそふ/動詞', '薄い/ウスイ/薄い/形容詞', '緑/ミドリ/みどり/名詞']","[7899, 19, 4254, 5520, 580, 1124]"
9235,藤の実の群がり下がる棚の隅,"['藤の実/フジノミ/藤の実/名詞', 'の/ノ/の/助詞', '群がり/ムラガリ/群がり/名詞', '下がる/サガル/下がる/動詞', '棚/タナ/棚/名詞', 'の/ノ/の/助詞', '隅/スミ/隅/名詞']","[7899, 18, 12824, 12027, 533, 18, 4208]"
9236,秋果盛る灯にさだまりて遺影はや,"['秋果/アキハテ/秋果/名詞', '盛る/モル/盛る/動詞', '明かり/アカリ/灯/名詞', 'に/ニ/に/助詞', '定まる/サダマル/さだまる/動詞', 'て/テ/て/助詞', '遺影/イエー/遺影/名詞', 'は/ワ/は/助詞', 'や/ヤ/や/形状詞']","[12825, 7671, 80, 21, 12826, 39, 12827, 43, 7608]"
9237,秋果もるり合わす花より華やかに,"['秋果/アキハテ/秋果/名詞', 'も/モ/も/助詞', '瑠璃/ルリ/るり/名詞', '合わす/アワス/合わす/動詞', '花/ハナ/花/名詞', 'より/ヨリ/より/助詞', '華やか/ハナヤカ/華やか/形状詞', 'だ/ダ/だ/助動詞']","[12825, 11, 12828, 12829, 47, 183, 7359, 9]"
9238,空は太初の青さ妻より林檎うく,"['空/ソラ/空/名詞', 'は/ワ/は/助詞', '太初/タイショ/太初/名詞', 'の/ノ/の/助詞', '青い/アオイ/青い/形容詞', 'さ/サ/さ/接尾辞', '妻/ツマ/妻/名詞', 'より/ヨリ/より/助詞', '林檎/リンゴ/林檎/名詞', '浮く/ウク/うく/動詞']","[273, 43, 12830, 18, 1940, 403, 311, 183, 2399, 5725]"
9239,そちこちの樹の上に乙女林檎園,"['其方此方/ソチコチ/そちこち/名詞', 'の/ノ/の/助詞', '樹/キ/樹/名詞', 'の/ノ/の/助詞', '上/ウエ/上/名詞', 'に/ニ/に/助詞', '乙女/オトメ/乙女/名詞', '林檎/リンゴ/林檎/名詞', '園/エン/園/接尾辞']","[12831, 18, 984, 18, 76, 21, 2984, 2399, 2997]"
9240,栗の毬割れて青空定まれり,"['栗/クリ/栗/名詞', 'の/ノ/の/助詞', '毬/カサ/毬/名詞', '割れる/ワレル/割れる/動詞', 'て/テ/て/助詞', '青空/アオゾラ/青空/名詞', '定まる/サダマル/定まる/動詞', 'り/リ/り/助動詞']","[1063, 18, 1263, 4835, 39, 4171, 5517, 41]"
9241,栗山の空谷ふかきところかな,"['栗山/クリヤマ/栗山/名詞', 'の/ノ/の/助詞', '空谷/クーコク/空谷/名詞', 'ふく/フク/ふく/動詞', 'き/キ/き/助動詞', '所/トコロ/ところ/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[12832, 18, 10973, 1272, 82, 1289, 27, 28]"
9242,ふるさとや昨日は棗ふところに,"['古里/フルサト/ふるさと/名詞', 'や/ヤ/や/助詞', '昨日/キノー/昨日/名詞', 'は/ワ/は/助詞', '棗/ナツメ/棗/名詞', '懐/フトコロ/ふところ/名詞', 'に/ニ/に/助詞']","[207, 19, 4856, 43, 7186, 12833, 21]"
9243,なつめの実青空のまま忘れらる,"['棗/ナツメ/なつめ/名詞', 'の/ノ/の/助詞', '実/ミ/実/接頭辞', '青空/アオゾラ/青空/名詞', 'の/ノ/の/助詞', '侭/ママ/まま/名詞', '忘れる/ワスレル/忘れる/動詞', 'られる/ラレル/らる/助動詞']","[12834, 18, 3536, 4171, 18, 374, 1318, 916]"
9244,夜の卓智慧のごとくに胡桃の実,"['夜/ヨル/夜/名詞', 'の/ノ/の/助詞', '卓/タク/卓/名詞', '知恵/チエ/智慧/名詞', 'の/ノ/の/助詞', 'ごとし/ゴトシ/ごとし/助動詞', 'だ/ダ/だ/助動詞', '胡桃/クルミ/胡桃/名詞', 'の/ノ/の/助詞', '実/ミ/実/名詞']","[102, 18, 5748, 12835, 18, 324, 9, 6880, 18, 285]"
9245,胡桃二つころがりふたつ音違ふ,"['胡桃/クルミ/胡桃/名詞', '2/ニ/二/名詞', 'つ/ツ/つ/接尾辞', '転がる/コロガル/ころがる/動詞', '二/ニ/ふた/名詞', 'つ/ツ/つ/接尾辞', '音/オト/音/名詞', '違/タガエ/違/名詞', 'ふ/フ/ふ/接尾辞']","[6880, 114, 181, 5481, 5772, 181, 315, 10530, 677]"
9246,船はまだ木組みのままや青蜜柑,"['船/フネ/船/名詞', 'は/ワ/は/助詞', '未だ/イマダ/まだ/副詞', '木組み/キグミ/木組み/名詞', 'の/ノ/の/助詞', '侭/ママ/まま/名詞', 'や/ヤ/や/助詞', '青/アオ/青/名詞', '蜜柑/ミカン/蜜柑/名詞']","[1105, 43, 2332, 12836, 18, 374, 19, 1870, 3291]"
9247,たとへむに物なき青き蜜柑売る,"['仮令/タトイ/たとへ/副詞', 'むに/ムニ/むに/副詞', '物/モノ/物/名詞', '無い/ナイ/なし/形容詞', '青い/アオイ/青し/形容詞', '蜜柑/ミカン/蜜柑/名詞', '売る/ウル/売る/動詞']","[12837, 12838, 615, 333, 692, 3291, 1750]"
9248,すだちてふ小つぶのものの身を絞る,"['巣立つ/スダツ/すだつ/動詞', 'て/テ/て/助詞', 'ふ/フ/ふ/接頭辞', '小つぶ/コツブ/小つぶ/名詞', 'の/ノ/の/助詞', '物/モノ/もの/名詞', 'の/ノ/の/助詞', '身/ミ/身/名詞', 'を/ヲ/を/助詞', '絞る/シボル/絞る/動詞']","[12839, 39, 1052, 12840, 18, 189, 18, 397, 31, 12133]"
9249,すだちしぼる手元や阿波の女なる,"['酢橘/スダチ/すだち/名詞', '絞る/シボル/しぼる/動詞', '手元/テモト/手元/名詞', 'や/ヤ/や/助詞', '阿波/アワ/阿波/名詞', 'の/ノ/の/助詞', '女/オンナ/女/名詞', 'なり/ナリ/なり/助動詞']","[12841, 4625, 5006, 19, 2783, 18, 227, 136]"
9250,柚子すべてとりたるあとの月夜かな,"['柚子/ユズ/柚子/名詞', '全て/スベテ/すべて/名詞', 'とり/トリ/とり/名詞', 'たり/タリ/たり/助動詞', '後/アト/あと/名詞', 'の/ノ/の/助詞', '月夜/ツキヨ/月夜/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[5379, 11270, 2518, 33, 878, 18, 853, 27, 28]"
9251,鈴のごと星鳴る買物籠に柚子,"['鈴/スズ/鈴/名詞', 'の/ノ/の/助詞', 'こと/コト/ごと/名詞', '星/ホシ/星/名詞', '鳴る/ナル/鳴る/動詞', '買い物/カイモノ/買物/名詞', '籠/カゴ/籠/名詞', 'に/ニ/に/助詞', '柚子/ユズ/柚子/名詞']","[4020, 18, 329, 644, 109, 7457, 982, 21, 5379]"
9252,葉籠りに橙垂れて夥し,"['葉/ハ/葉/名詞', '籠もり/コモリ/籠り/名詞', 'に/ニ/に/助詞', '橙/ダイダイ/橙/名詞', '垂れる/シダレル/垂れる/動詞', 'て/テ/て/助詞', '夥しい/オビタダシイ/夥しい/形容詞']","[332, 208, 21, 8036, 1594, 39, 12767]"
9253,橙をうけとめてをる虚空かな,"['橙/ダイダイ/橙/名詞', 'を/ヲ/を/助詞', '受ける/ウケル/うける/動詞', 'とめる/トメル/とめる/動詞', 'て/テ/て/助詞', '居る/イル/をり/動詞', '虚空/コクー/虚空/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[8036, 31, 3871, 4050, 39, 54, 4170, 27, 28]"
9254,宝石のごと金柑を掌の上に,"['宝石/ホーセキ/宝石/名詞', 'の/ノ/の/助詞', 'こと/コト/ごと/名詞', '金柑/キンカン/金柑/名詞', 'を/ヲ/を/助詞', '掌/テノヒラ/掌/名詞', 'の/ノ/の/助詞', '上/ウエ/上/名詞', 'に/ニ/に/助詞']","[12842, 18, 329, 12843, 31, 4584, 18, 76, 21]"
9255,金柑や年寄り順に消ゆる島,"['金柑/キンカン/金柑/名詞', 'や/ヤ/や/助詞', '年寄り/トシヨリ/年寄り/名詞', '順/ジュン/順/名詞', 'に/ニ/に/助詞', '消/ケシ/消/接頭辞', '緩い/ユルイ/ゆるい/形容詞', '島/シマ/島/名詞']","[12843, 19, 6473, 4108, 21, 990, 991, 2363]"
9256,檸檬ぬくし癒えゆく胸にあそばせて,"['レモン/レモン/檸檬/名詞', '抜く/ヌク/ぬく/動詞', 'し/シ/し/助詞', '癒える/イエル/癒える/動詞', '行く/ユク/ゆく/動詞', '胸/ムネ/胸/名詞', 'に/ニ/に/助詞', '遊ぶ/アソブ/あそぶ/動詞', 'せる/セル/せる/助動詞', 'て/テ/て/助詞']","[8524, 2490, 223, 3313, 1020, 145, 21, 2814, 806, 39]"
9257,いつまでも眺めてゐたりレモンの尻,"['いつ/イツ/いつ/代名詞', 'まで/マデ/まで/助詞', 'も/モ/も/助詞', '眺める/ナガメル/眺める/動詞', 'て/テ/て/助詞', '居る/イル/ゐる/動詞', 'たり/タリ/たり/助詞', 'レモン/レモン/レモン/名詞', 'の/ノ/の/助詞', '尻/シリ/尻/名詞']","[1883, 974, 11, 5232, 39, 441, 89, 6790, 18, 770]"
9258,静かなり紅葉の中の松の色,"['静か/シズカカ/静か/形状詞', 'なり/ナリ/なり/助動詞', '紅葉/コーヨー/紅葉/名詞', 'の/ノ/の/助詞', '中/ナカ/中/名詞', 'の/ノ/の/助詞', '松/マツ/松/名詞', 'の/ノ/の/助詞', '色/イロ/色/名詞']","[2873, 136, 6990, 18, 243, 18, 1140, 18, 139]"
9259,障子閉めて四方の紅葉を感じをり,"['障子/ショージ/障子/名詞', '閉める/シメル/閉める/動詞', 'て/テ/て/助詞', '四方/シホー/四方/名詞', 'の/ノ/の/助詞', '紅葉/コーヨー/紅葉/名詞', 'を/ヲ/を/助詞', '感じる/カンジル/感ずる/動詞', '居る/イル/をり/動詞']","[953, 8813, 39, 564, 18, 6990, 31, 7405, 54]"
9260,病室の中まで黄葉してくるや,"['病室/ビョーシツ/病室/名詞', 'の/ノ/の/助詞', '中/ナカ/中/名詞', 'まで/マデ/まで/助詞', '黄葉/コーヨー/黄葉/名詞', '為る/ナル/する/動詞', 'て/テ/て/助詞', '来る/クル/くる/動詞', 'や/ヤ/や/助詞']","[4188, 18, 243, 974, 8058, 16, 39, 2059, 19]"
9261,黄葉してポプラはやはり愉しき木,"['黄葉/コーヨー/黄葉/名詞', '為る/ナル/する/動詞', 'て/テ/て/助詞', 'ポプラ/ポプラ/ポプラ/名詞', 'は/ワ/は/助詞', '矢張り/ヤハリ/やはり/副詞', '楽しい/タノシイ/愉しい/形容詞', 'き/キ/き/助動詞', '木/キ/木/名詞']","[8058, 16, 39, 3475, 43, 12844, 10538, 82, 182]"
9262,ひもすがら外に作務ある照葉かな,"['ひも/ヒモ/ひも/名詞', 'すがら/スガラ/すがら/接尾辞', '外/ソト/外/名詞', 'に/ニ/に/助詞', '作務/サム/作務/名詞', '有る/アル/ある/動詞', '照葉/ショーヨー/照葉/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[9706, 10192, 5604, 21, 12845, 99, 8061, 27, 28]"
9263,心願の色あらばこの照紅葉,"['心願/シンガン/心願/名詞', 'の/ノ/の/助詞', '色/イロ/色/名詞', '有る/アル/あり/動詞', 'ば/バ/ば/助詞', '此の/コノ/この/連体詞', '照/アキラ/照/名詞', '紅葉/コーヨー/紅葉/名詞']","[12846, 18, 139, 436, 4, 869, 4564, 6990]"
9264,紅葉かつ散りて神さびたまひけり,"['紅葉/コーヨー/紅葉/名詞', '且つ/カツ/かつ/接続詞', '散る/チル/散る/動詞', 'て/テ/て/助詞', '神さびる/カミサビル/神さびる/動詞', '給う/タマウ/たまふ/動詞', 'けり/ケリ/けり/助動詞']","[6990, 6181, 757, 39, 4646, 2606, 301]"
9265,足音に応へ且散る紅葉あり,"['足音/アシオト/足音/名詞', 'に/ニ/に/助詞', '応/コタエ/応/名詞', 'へ/エ/へ/助詞', '且つ/カツ/且/接続詞', '散る/チル/散る/動詞', '紅葉/コーヨー/紅葉/名詞', '有り/アリ/あり/名詞']","[11343, 21, 4396, 267, 12847, 757, 6990, 430]"
9266,黄落や或る悲しみの受話器置く,"['黄/キ/黄/名詞', '落ち/オチ/落/名詞', 'や/ヤ/や/助詞', '或る/アル/或る/連体詞', '悲しい/カナシイ/悲しい/形容詞', '味/アジ/み/接尾辞', 'の/ノ/の/助詞', '受話/ジュワ/受話/名詞', '器/ウツワ/器/接尾辞', '置く/オク/置く/動詞']","[437, 120, 19, 12848, 5764, 2771, 18, 7257, 5746, 3181]"
9267,黄落や人形は瞳を開けて寝る,"['黄/キ/黄/名詞', '落ち/オチ/落/名詞', 'や/ヤ/や/助詞', '人形/ニンギョー/人形/名詞', 'は/ワ/は/助詞', '瞳/ヒトミ/瞳/名詞', 'を/ヲ/を/助詞', '開ける/アケル/開ける/動詞', 'て/テ/て/助詞', '寝る/ネル/寝る/動詞']","[437, 120, 19, 411, 43, 2898, 31, 1511, 39, 62]"
9268,あと先に人声遠し柿紅葉,"['後先/アトサキ/あと先/名詞', 'に/ニ/に/助詞', '人声/ヒトゴエ/人声/名詞', '遠い/トーイ/遠し/形容詞', '柿/カキ/柿/名詞', '紅葉/コーヨー/紅葉/名詞']","[12849, 21, 5889, 855, 4036, 6990]"
9269,柿紅葉貼りつく天の瑠璃深し,"['柿/カキ/柿/名詞', '紅葉/コーヨー/紅葉/名詞', '張る/ハル/貼る/動詞', '付く/ツク/つく/動詞', '天/テン/天/名詞', 'の/ノ/の/助詞', '瑠璃/ルリ/瑠璃/名詞', '深い/フカイ/深し/形容詞']","[4036, 6990, 3423, 848, 3688, 18, 10860, 796]"
9270,そぞろ寒鶏の骨打つ台所,"['漫ろ/ソゾロ/そぞろ/副詞', '寒い/サムイ/寒い/形容詞', '鶏/ニワトリ/鶏/名詞', 'の/ノ/の/助詞', '骨/ホネ/骨/名詞', '打つ/ウツ/打つ/動詞', '台所/ダイドコロ/台所/名詞']","[7493, 402, 962, 18, 1785, 239, 12850]"
9271,雲二つ割れて又集るそゞろ寒,"['雲/クモ/雲/名詞', '2/ニ/二/名詞', 'つ/ツ/つ/接尾辞', '割れる/ワレル/割れる/動詞', 'て/テ/て/助詞', '又/マタ/又/副詞', '集る/タカル/集る/動詞', '漫ろ/ソゾロ/そぞろ/副詞', '寒/サム/寒/名詞']","[419, 114, 181, 4835, 39, 77, 12851, 7493, 133]"
9272,野ねずみの逃ぐるも見ゆる鳴子かな,"['野鼠/ノネズミ/野ねずみ/名詞', 'の/ノ/の/助詞', '逃げる/ニゲル/逃る/動詞', 'ぐる/グル/ぐる/名詞', 'も/モ/も/助詞', '見る/ミル/見る/動詞', '緩い/ユルイ/ゆるい/形容詞', '鳴子/ナルコ/鳴子/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[12852, 18, 2454, 1600, 11, 215, 991, 7822, 27, 28]"
9273,引かで鳴る夜の鳴子の淋しさよ,"['引き/ビキ/引/名詞', 'か/カ/か/助詞', 'で/デ/で/助詞', '鳴る/ナル/鳴る/動詞', '夜/ヨル/夜/名詞', 'の/ノ/の/助詞', '鳴子/ナルコ/鳴子/名詞', 'の/ノ/の/助詞', '寂しい/サビシイ/淋しい/形容詞', 'さ/サ/さ/接尾辞', 'よ/ヨ/よ/助詞']","[1407, 27, 58, 109, 102, 18, 7822, 18, 576, 403, 184]"
9274,鯊釣の見返る空や本願寺,"['沙魚/ハゼ/鯊/名詞', '釣り/ツリ/釣/名詞', 'の/ノ/の/助詞', '見る/ミル/見る/動詞', '返る/カエル/返る/動詞', '空/ソラ/空/名詞', 'や/ヤ/や/助詞', '本願/ホンガン/本願/名詞', '寺/テラ/寺/接尾辞']","[1300, 1287, 18, 215, 379, 273, 19, 9578, 1451]"
9275,きのふまでよく釣れたにと鯊の舟,"['昨日/キノー/きのふ/名詞', 'まで/マデ/まで/助詞', '良く/ヨク/よく/副詞', '釣れる/ツレル/釣れる/動詞', 'た/タ/た/助動詞', 'に/ニ/に/助詞', 'と/ト/と/助詞', '沙魚/ハゼ/鯊/名詞', 'の/ノ/の/助詞', '舟/フネ/舟/名詞']","[245, 974, 1305, 1301, 188, 21, 67, 1300, 18, 513]"
9276,まだ夏の心ならひや葉鶏頭,"['未だ/イマダ/まだ/副詞', '夏/ナツ/夏/名詞', 'の/ノ/の/助詞', '心/ココロ/心/名詞', 'だ/ダ/だ/助動詞', '冷や/ヒヤ/ひや/名詞', '葉鶏頭/ハゲートー/葉鶏頭/名詞']","[2332, 3070, 18, 94, 9, 367, 1705]"
9277,葉鶏頭のいただき躍る驟雨かな,"['葉鶏頭/ハゲートー/葉鶏頭/名詞', 'の/ノ/の/助詞', '頂く/イタダク/いただく/動詞', '躍る/オドル/躍る/動詞', '驟雨/シューウ/驟雨/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[1705, 18, 2011, 1039, 453, 27, 28]"
9278,子のこのみ今シューベルト星月夜,"['子/コ/子/名詞', 'の/ノ/の/助詞', '此の/コノ/この/連体詞', 'み/ミ/み/接頭辞', '今/イマ/今/名詞', 'シューベルト/シューベルト/シューベルト/名詞', '星/ホシ/星/名詞', '月夜/ツキヨ/月夜/名詞']","[541, 18, 869, 2632, 2507, 12853, 644, 853]"
9279,散る芒寒くなるのが目に見ゆる,"['散る/チル/散る/動詞', '芒/ススキ/芒/名詞', '寒い/サムイ/寒い/形容詞', '成る/ナル/なる/動詞', 'の/ノ/の/助詞', 'が/ガ/が/助詞', '目/メ/目/名詞', 'に/ニ/に/助詞', '見る/ミル/見る/動詞', '揺る/ユル/ゆる/動詞']","[757, 589, 402, 587, 18, 106, 304, 21, 215, 880]"
9280,この道の富士になりゆくすすきかな,"['此の/コノ/この/連体詞', '道/ミチ/道/名詞', 'の/ノ/の/助詞', '富士/フジ/富士/名詞', 'に/ニ/に/助詞', '成る/ナル/なる/動詞', '行く/ユク/ゆく/動詞', '薄/ウスキ/すすき/名詞', 'か/カ/か/助詞', 'な/ナ/な/助詞']","[869, 1576, 18, 922, 21, 587, 1020, 8824, 27, 28]"
9281,曼珠沙華どれも腹出し秩父の子,"['曼珠沙華/マンジュシャゲ/曼珠沙華/名詞', 'どれ/ドレ/どれ/代名詞', 'も/モ/も/助詞', '腹/ハラ/腹/名詞', '出し/ダシ/出し/接尾辞', '秩父/チチブ/秩父/名詞', 'の/ノ/の/助詞', '子/コ/子/名詞']","[12162, 4486, 11, 2355, 2104, 9378, 18, 541]"
9282,ある晴れた日につばくらめかへりけり,"['或る/アル/ある/連体詞', '晴れる/ハレレル/晴れる/動詞', 'た/タ/た/助動詞', '日/ヒ/日/名詞', 'に/ニ/に/助詞', '燕/ツバメ/つばくらめ/名詞', 'かえる/カエル/かへる/動詞', 'けり/ケリ/けり/助動詞']","[4259, 1918, 188, 231, 21, 12854, 78, 301]"
9283,破船より翔ちて帰燕に加はれり,"['破船/ハセン/破船/名詞', 'より/ヨリ/より/助詞', '翔/ショー/翔/名詞', 'ちっ/チッ/ち/副詞', 'って/ッテ/て/助詞', '帰燕/カエリツバクラ/帰燕/名詞', 'に/ニ/に/助詞', '加わる/クワワル/加はる/動詞', 'り/リ/り/助動詞']","[6734, 183, 3218, 1769, 275, 12855, 21, 4183, 41]"
9284,時化過ぎぬ玉蜀黍もさも疲れ,"['時化る/シケル/時化る/動詞', '過ぎる/スギル/過ぎる/動詞', 'ず/ズ/ぬ/助動詞', '玉蜀黍/トーモロコシ/玉蜀黍/名詞', 'も/モ/も/助詞', '然も/シカモ/さも/副詞', '疲れ/ツカレ/疲れ/名詞']","[8528, 1381, 70, 11409, 11, 11565, 4060]"
